@@TAXID,TAXPATHSN,PERCENTAGE,_CAMI_genomeID
32644.6,||||||unidentified|unidentified strain,1.1556,Sample23_288
32644.4,||||||unidentified|unidentified strain,0.1632,Sample6_722
32644.5,||||||unidentified|unidentified strain,0.1624,Sample15_97
32644.2,||||||unidentified|unidentified strain,0.0695,Sample16_19
32644.3,||||||unidentified|unidentified strain,56.9428,Sample23_271
32644.1,||||||unidentified|unidentified strain,0.0487,Sample9_65
1121885.1,Bacteria|Bacteroidetes|Sphingobacteriia|Sphingobacteriales|Chitinophagaceae|Flavisolibacter|Flavisolibacter ginsengiterrae|Flavisolibacter ginsengiterrae DSM 18136 strain,0.2622,1030836
1123015.1,Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonadales|Pseudomonadaceae|Pseudomonas|Pseudomonas aeruginosa|Pseudomonas aeruginosa DSM 50071 strain,1.4596,1030752
45202.2,||||||unidentified plasmid|unidentified plasmid strain,0.0697,Sample22_283
45202.3,||||||unidentified plasmid|unidentified plasmid strain,0.1123,Sample6_289
45202.1,||||||unidentified plasmid|unidentified plasmid strain,0.0922,Sample19_56
45202.6,||||||unidentified plasmid|unidentified plasmid strain,2.4101,Sample18_57
45202.7,||||||unidentified plasmid|unidentified plasmid strain,0.6087,Sample18_8
45202.4,||||||unidentified plasmid|unidentified plasmid strain,0.1315,Sample23_273
45202.5,||||||unidentified plasmid|unidentified plasmid strain,3.1157,Sample19_20
328515.1,Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Nonlabens|Nonlabens dokdonensis|Nonlabens dokdonensis strain,0.024,1048993
1123349.1,Bacteria|Firmicutes|Clostridia|Clostridiales|Peptostreptococcaceae|Tepidibacter|Tepidibacter formicigenes|Tepidibacter formicigenes DSM 15518 strain,0.1617,1036641
1121884.1,Bacteria|Bacteroidetes|Sphingobacteriia|Sphingobacteriales|Chitinophagaceae|Flavisolibacter|Flavisolibacter ginsengisoli|Flavisolibacter ginsengisoli DSM 18119 strain,0.1657,1036539
2037.1,Bacteria|Actinobacteria|Actinobacteria|Actinomycetales||||Actinomycetales strain,0.2705,1285_BH
